"id","created_at","user_id","product_id","discount","quantity"
56,2016-12-02 08:04:45,10,109,,1
76,2016-12-19 19:40:17,15,185,,2
86,2016-06-08 10:56:25,16,147,,6
89,2016-08-28 16:44:40,16,90,,7
90,2016-12-29 08:29:20,16,87,,1
133,2016-10-25 11:08:11,20,36,5.87,4
144,2016-12-11 16:41:35,22,15,,1
195,2016-06-12 00:42:35,34,45,,9
252,2016-11-01 15:43:42,40,21,,3
316,2016-06-10 22:50:46,48,33,,3
323,2016-11-20 15:28:50,48,30,,3
327,2016-10-14 01:00:14,48,105,,5
351,2016-07-31 08:17:59,50,80,,4
413,2016-09-30 18:50:30,58,25,,4
416,2016-10-28 08:51:33,58,167,,6
420,2016-06-23 18:11:12,58,55,,6
445,2016-09-30 11:12:07,61,118,6.88,6
448,2016-12-25 22:19:38,61,1,,2
481,2016-12-14 17:13:11,65,151,,2
508,2016-08-21 02:43:50,66,36,,4
517,2016-12-28 08:49:34,68,113,,2
536,2016-11-27 05:57:53,68,104,,3
537,2016-09-24 20:04:25,68,51,,5
539,2016-11-12 15:04:02,68,177,,3
545,2016-10-31 22:23:38,69,176,,6
553,2016-12-05 20:35:30,70,185,4.18,2
566,2016-08-23 10:12:52,70,142,,8
567,2016-11-21 09:47:54,70,144,,3
570,2016-07-18 01:10:43,70,158,,5
646,2016-11-29 08:40:52,80,175,,3
677,2016-08-03 20:49:04,86,175,,7
731,2016-07-27 11:27:39,92,36,,4
747,2016-07-11 08:10:08,95,125,2.41,4
750,2016-12-22 08:05:14,95,175,,2
752,2016-09-28 15:41:39,95,192,3.55,5
764,2016-06-17 13:55:20,99,105,,5
792,2016-12-16 07:09:25,107,30,,1
814,2016-09-26 14:05:57,111,128,,5
828,2016-11-26 13:18:12,111,80,,3
857,2016-12-12 07:20:16,115,118,,2
889,2016-09-21 19:36:45,118,13,,4
928,2016-12-30 04:19:23,128,53,,3
932,2016-11-01 21:19:01,129,43,,2
968,2016-12-21 22:09:01,136,42,,1
981,2016-08-18 14:57:43,138,36,,7
1005,2016-11-05 16:15:41,140,55,7.17,3
1130,2016-10-24 06:46:13,151,166,,8
1136,2016-12-06 06:24:08,152,92,,3
