"id","created_at","user_id","product_id","discount","quantity"
2,2018-05-15 08:04:04,1,123,,3
5,2018-10-10 03:34:47,1,132,,5
7,2018-09-11 11:22:26,1,55,,5
11,2018-07-22 20:31:01,1,76,,6
12,2018-06-26 23:21:13,3,7,,7
15,2018-06-26 02:24:38,3,116,,5
20,2018-04-21 04:18:01,3,160,9.48,4
21,2018-05-02 03:57:22,3,94,,5
26,2018-06-20 02:18:00,5,40,,5
28,2018-05-23 18:15:24,6,49,9.15,4
29,2018-03-07 22:56:54,6,45,,1
31,2018-05-22 04:28:04,7,191,,6
32,2018-06-04 05:11:15,7,82,,7
36,2018-07-04 00:34:31,7,145,,4
38,2018-07-25 23:27:34,7,39,,5
39,2018-05-09 03:09:25,7,142,,4
41,2018-12-04 00:08:37,7,51,,2
46,2018-06-14 03:09:15,8,8,,4
47,2018-07-06 00:35:40,8,104,,4
50,2018-01-01 07:26:31,8,12,,2
52,2018-07-15 23:04:22,9,34,,3
53,2018-09-15 13:06:14,9,79,,3
54,2018-10-26 20:41:23,10,68,7.64,4
60,2018-07-10 03:17:28,10,92,,2
62,2018-10-13 19:02:04,10,198,,6
63,2018-04-14 19:47:06,10,58,,3
65,2018-09-14 23:33:17,10,53,,5
66,2018-03-30 20:03:22,10,15,3.44,1
67,2018-05-30 05:01:21,10,152,7.81,5
78,2018-05-02 15:42:21,15,165,,5
79,2018-04-25 15:55:31,15,49,,4
82,2018-01-03 09:10:59,16,78,,2
83,2018-04-28 18:48:34,16,169,6.01,3
96,2018-09-26 23:27:09,17,140,,4
101,2018-09-14 06:42:41,17,30,5.05,3
105,2018-03-01 00:41:52,17,118,,1
112,2018-06-12 04:48:40,17,115,,7
117,2018-02-26 02:43:13,18,49,,2
118,2018-12-18 04:49:24,18,37,,29
121,2018-02-03 05:48:55,18,144,5.66,1
122,2018-12-31 20:08:35,18,41,,2
125,2018-07-18 01:04:09,19,129,,4
128,2018-05-29 01:45:46,20,134,,3
132,2018-07-22 03:39:51,20,161,,2
135,2018-01-04 14:19:57,21,120,,1
136,2018-11-21 22:12:37,21,116,,2
138,2018-03-26 01:51:23,21,62,,1
142,2018-01-30 19:26:07,22,57,,2
143,2018-04-05 20:31:27,22,24,2.10,2
150,2018-11-06 14:12:49,22,104,,3
152,2018-04-28 23:03:07,22,61,,3
153,2018-11-28 15:57:37,23,29,,3
155,2018-04-06 09:28:38,23,21,,2
159,2018-01-31 23:55:52,23,114,,3
160,2018-03-01 23:52:38,23,165,,1
163,2018-04-07 02:25:01,24,75,,3
164,2018-10-22 09:59:09,24,33,,7
168,2018-04-14 22:05:46,24,186,,2
173,2018-10-22 18:56:58,29,91,,7
176,2018-10-16 01:03:54,29,154,,7
183,2018-08-25 14:09:48,32,87,,8
184,2018-03-29 01:29:18,32,84,,1
185,2018-06-08 20:22:55,33,103,,8
186,2018-12-23 21:15:46,33,108,,2
194,2018-01-28 20:48:50,34,89,8.76,2
200,2018-06-30 04:17:27,35,75,,5
201,2018-03-30 20:23:19,36,72,,1
202,2018-01-25 16:05:23,36,60,,2
205,2018-12-23 06:21:19,36,141,,2
206,2018-06-22 06:02:43,36,25,,7
208,2018-08-29 06:33:29,36,138,,6
220,2018-08-26 02:21:12,37,97,,6
223,2018-03-06 11:47:28,37,128,,1
225,2018-11-11 21:14:13,38,84,3.20,3
227,2018-06-16 19:38:44,38,66,,6
232,2018-11-12 23:45:17,39,74,7.85,2
233,2018-08-02 06:00:12,39,182,,5
234,2018-11-13 21:41:19,39,34,,2
240,2018-01-24 03:27:21,40,62,,2
244,2018-08-30 06:58:11,40,152,,7
248,2018-11-09 05:47:19,40,18,,4
250,2018-05-17 18:16:42,40,37,,4
251,2018-07-25 06:15:19,40,121,,4
253,2018-01-23 08:10:09,40,197,,2
257,2018-02-06 08:34:07,40,80,,2
259,2018-11-10 20:53:54,40,73,,1
267,2018-10-28 12:46:48,42,17,,4
272,2018-06-15 16:19:39,42,129,,7
273,2018-10-09 12:05:39,42,132,,6
275,2018-01-30 17:39:43,42,17,4.46,2
276,2018-04-24 23:43:59,42,38,,3
280,2018-10-17 19:07:02,44,8,,7
283,2018-10-03 09:10:25,44,39,,4
285,2018-05-13 13:08:31,44,118,,5
286,2018-01-06 22:36:17,44,115,7.96,2
293,2018-02-02 10:52:34,45,127,,2
294,2018-01-29 14:34:05,45,11,,2
296,2018-04-29 11:08:07,45,86,,2
297,2018-03-15 05:50:24,45,149,,1
305,2018-01-30 21:03:48,47,5,,2
310,2018-05-28 17:57:00,48,81,1.36,3
314,2018-04-16 04:33:32,48,183,,2
320,2018-03-15 13:08:31,48,91,,1
324,2018-02-21 18:11:12,48,2,,2
328,2018-06-19 10:41:09,48,59,,4
331,2018-05-13 08:19:19,49,142,,3
337,2018-01-26 19:47:47,49,46,,3
338,2018-03-09 09:06:58,49,83,,1
342,2018-04-21 20:31:18,49,5,,4
345,2018-10-23 20:00:39,49,37,,5
346,2018-04-20 16:28:46,49,6,,26
348,2018-02-23 18:18:45,50,135,,2
350,2018-12-15 20:45:09,50,2,,2
355,2018-02-11 00:13:02,50,30,4.84,2
360,2018-07-11 14:54:35,52,196,,5
362,2018-12-12 14:11:02,52,144,,3
364,2018-06-19 09:14:05,53,191,2.81,6
369,2018-12-22 21:37:37,54,106,,2
374,2018-03-26 06:11:39,54,89,,1
380,2018-04-24 04:10:24,54,95,,2
381,2018-08-24 02:12:10,56,65,3.90,5
387,2018-01-23 02:55:19,56,94,,2
389,2018-05-23 03:41:32,56,181,,4
390,2018-09-11 01:52:10,56,128,,5
394,2018-10-20 15:49:17,57,17,,4
397,2018-01-11 22:54:05,57,47,,2
398,2018-05-13 04:26:35,57,197,,5
404,2018-09-17 06:08:23,57,66,,5
407,2018-08-27 00:42:25,57,9,,6
414,2018-03-01 07:57:22,58,141,,1
425,2018-06-19 18:12:06,58,139,,5
427,2018-10-16 02:39:22,59,179,,5
429,2018-08-30 01:53:04,59,108,,6
436,2018-11-14 21:00:27,60,67,,4
437,2018-06-03 08:17:10,60,139,,7
438,2018-01-05 20:44:49,60,190,,2
439,2018-03-25 13:08:50,60,97,,1
441,2018-02-01 00:19:13,60,76,,1
443,2018-11-07 01:21:45,60,110,,3
447,2018-01-19 06:37:14,61,11,,2
456,2018-11-30 18:05:33,63,171,7.54,3
457,2018-05-22 04:30:44,63,178,,5
466,2018-12-28 12:58:29,63,158,,1
467,2018-12-24 09:05:48,63,175,6.35,1
469,2018-08-13 01:31:58,64,180,,6
480,2018-05-21 05:30:00,65,129,,4
483,2018-01-02 19:01:51,65,74,,2
486,2018-01-13 16:31:04,65,62,,1
490,2018-10-21 20:44:39,65,18,,6
494,2018-11-08 16:25:53,65,192,,2
502,2018-01-14 02:06:44,65,57,,2
509,2018-11-12 08:50:33,66,199,4.68,3
510,2018-01-05 19:27:01,66,32,4.68,2
511,2018-12-29 20:33:52,66,51,,2
513,2018-05-02 22:31:50,66,179,,4
514,2018-02-26 23:30:46,66,190,,2
516,2018-02-09 13:09:14,66,36,,2
518,2018-07-28 07:46:56,68,114,,6
528,2018-04-23 09:25:26,68,19,,2
534,2018-02-21 19:23:57,68,21,,1
535,2018-09-20 09:29:52,68,194,,5
547,2018-09-07 17:56:21,69,116,,5
550,2018-06-16 14:36:07,69,93,,7
551,2018-12-17 02:54:21,69,101,,2
552,2018-02-03 02:27:04,70,8,,2
555,2018-02-09 01:03:17,70,169,2.52,2
556,2018-10-19 16:34:40,70,189,,6
559,2018-11-04 18:49:40,70,103,,2
564,2018-09-16 22:05:20,70,139,,6
569,2018-01-12 09:16:45,70,132,,2
573,2018-01-19 04:23:38,70,88,,2
575,2018-10-22 18:24:55,72,123,7.33,7
576,2018-03-22 14:41:44,72,163,,1
577,2018-08-07 23:34:02,72,98,2.83,6
582,2018-10-27 08:11:40,73,56,4.88,3
584,2018-09-07 16:49:02,73,136,,4
586,2018-07-07 02:30:48,73,70,,4
587,2018-01-01 12:32:46,73,90,,1
588,2018-09-10 05:24:35,73,32,,3
594,2018-05-28 00:22:28,73,119,,5
595,2018-11-05 06:51:27,74,166,,3
596,2018-10-30 15:18:36,74,10,,7
598,2018-08-20 19:34:06,74,11,,9
600,2018-02-24 14:38:24,74,29,,2
601,2018-08-15 07:40:07,74,192,,6
603,2018-08-07 15:09:59,74,119,,9
604,2018-07-14 11:25:18,74,193,,7
616,2018-09-05 17:05:43,74,115,,4
622,2018-07-03 01:28:09,74,176,,4
626,2018-09-06 18:55:42,75,54,,2
628,2018-11-15 01:24:59,76,173,,2
629,2018-07-17 22:17:21,76,94,,3
636,2018-10-20 00:23:26,77,183,,7
639,2018-04-07 19:52:09,80,130,8.18,3
647,2018-04-23 20:41:26,80,64,2.99,3
649,2018-12-08 14:29:14,80,192,,1
652,2018-05-19 21:27:25,80,67,,4
653,2018-10-07 10:27:57,81,40,,4
656,2018-08-29 05:26:33,83,65,,5
658,2018-11-19 08:37:38,84,17,,4
668,2018-10-20 19:35:32,85,57,,5
674,2018-03-06 04:36:59,86,39,,1
678,2018-01-17 23:34:56,86,82,,2
682,2018-11-08 00:47:03,87,50,3.68,4
687,2018-05-10 17:10:19,87,100,,4
689,2018-05-17 16:14:26,87,80,,4
690,2018-12-29 21:25:57,87,119,,1
691,2018-06-02 00:40:58,87,98,,5
701,2018-05-05 11:59:37,87,65,,4
710,2018-12-04 20:34:05,87,74,,1
711,2018-01-24 09:28:27,87,70,,2
713,2018-09-03 14:06:27,87,99,,5
720,2018-11-23 23:55:23,91,167,,3
722,2018-05-03 04:17:13,91,72,,5
723,2018-05-13 09:31:00,91,8,,5
724,2018-09-09 01:52:45,91,200,2.87,6
