"id","created_at","category","price","title","vendor"
1,2019-07-19 19:44:56,Gizmo,32.483,Rustic Paper Wallet,"Swaniawski, Casper and Hilll"
2,2021-04-11 08:49:35,Doohickey,77.263,Small Marble Shoes,Balistreri-Ankunding
3,2020-09-08 22:03:20,Doohickey,39.016,Synergistic Granite Chair,"Murray, Watsica and Wunsch"
4,2020-03-06 02:53:09,Doohickey,81.576,Enormous Aluminum Shirt,Regan Bradtke and Sons
5,2018-10-03 01:47:39,Gadget,91.226,Enormous Marble Wallet,"Price, Schultz and Daniel"
6,2019-03-29 05:43:40,Doohickey,71.616,Small Marble Hat,Nolan-Wolff
7,2019-06-03 03:07:28,Doohickey,108.948,Aerodynamic Linen Coat,Little-Pagac
8,2020-04-30 15:03:53,Doohickey,72.646,Enormous Steel Watch,Senger-Stamm
9,2021-02-07 08:26:25,Widget,64.290,Practical Bronze Computer,Keely Stehr Group
10,2019-01-09 09:51:20,Gizmo,35.044,Mediocre Wooden Table,"Larson, Pfeffer and Klocko"
11,2020-05-28 08:02:54,Gadget,97.356,Ergonomic Silk Coat,"Upton, Kovacek and Halvorson"
12,2019-11-12 14:51:16,Gizmo,85.270,Sleek Paper Toucan,Mueller-Dare
13,2018-05-24 23:09:46,Gizmo,82.783,Synergistic Steel Chair,Mr. Tanya Stracke and Sons
14,2019-12-31 14:41:56,Widget,27.671,Awesome Concrete Shoes,McClure-Lockman
15,2018-09-08 14:42:57,Widget,27.671,Aerodynamic Paper Computer,Friesen-Anderson
16,2019-01-30 22:00:25,Gadget,48.591,Incredible Bronze Pants,"Okuneva, Kutch and Monahan"
17,2019-01-31 11:05:14,Doohickey,58.753,Enormous Wool Car,"Hilpert, Jacobs and Hauck"
18,2019-02-11 03:45:40,Gadget,60.199,Lightweight Paper Bottle,Wilkinson-Gottlieb
19,2018-11-06 23:27:12,Doohickey,47.045,Rustic Concrete Bottle,"Gibson, Turner and Douglas"
20,2019-08-25 18:18:36,Gizmo,27.435,Intelligent Wooden Gloves,Ora Monahan and Sons
21,2018-06-30 07:30:53,Gadget,44.523,Lightweight Wool Bag,Heaney-Windler
22,2019-11-24 20:14:28,Gizmo,23.621,Enormous Marble Shoes,"Mayer, Kiehn and Turcotte"
23,2020-02-01 16:00:14,Widget,85.897,Fantastic Aluminum Bottle,"Reichert, Johnson and Roob"
24,2019-02-08 05:19:53,Doohickey,82.545,Synergistic Marble Keyboard,Claude Thompson Group
25,2020-10-17 03:54:33,Widget,50.438,Durable Marble Watch,"Ritchie, Haley and Pacocha"
26,2019-11-02 09:54:01,Widget,50.072,Ergonomic Aluminum Plate,Tia Goyette Group
27,2021-01-25 13:28:28,Gadget,93.731,Awesome Aluminum Table,Alfredo Kuhlman Group
28,2020-03-13 11:24:34,Gizmo,50.072,Rustic Marble Bottle,"Morissette, Bartoletti and Cummings"
29,2019-09-14 15:30:37,Widget,90.827,Durable Steel Toucan,Odessa Emmerich Inc
30,2018-10-22 11:57:21,Gadget,47.168,Ergonomic Paper Wallet,Miles Ryan Group
31,2020-06-05 19:01:10,Doohickey,77.655,Rustic Rubber Clock,"Quigley, Von and Will"
32,2019-11-15 04:21:04,Gadget,78.751,Ergonomic Silk Keyboard,Reid Pfannerstill and Sons
33,2018-05-30 20:38:52,Doohickey,35.092,Small Plastic Computer,Spinka-Stokes
34,2018-04-28 22:08:19,Gadget,54.613,Heavy-Duty Wooden Clock,Eugenia Kunze LLC
35,2019-09-14 22:13:40,Doohickey,52.580,Mediocre Cotton Coat,Cassin-Collins
36,2018-04-26 19:29:55,Gizmo,96.239,Mediocre Plastic Clock,"Wolf, Beahan and Thiel"
37,2021-04-15 13:34:19,Gadget,58.879,Incredible Granite Toucan,"Parker, OConnell and Beahan"
38,2019-01-09 14:54:58,Gadget,48.561,Lightweight Leather Gloves,"Bednar, Berge and Boyle"
39,2021-01-06 03:22:33,Gizmo,84.217,Durable Rubber Computer,Carmela Douglas Inc
40,2020-06-22 04:29:03,Gizmo,73.252,Small Copper Plate,Maegan Casper Group
41,2020-07-16 01:10:38,Widget,46.679,Aerodynamic Paper Coat,Robyn Padberg Inc
42,2018-09-17 18:21:58,Widget,27.933,Awesome Rubber Wallet,Schamberger-Maggio
